Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
138.00,14682.73,14727.66,14560.5,14727.66,67.39,986144.32,14634.39
139.00,14683.54,14802.76,14654.58,14802.76,60.93,899129.91,14757.17
140.00,14802.76,14837.94,14735.32,14767.28,73.62,1089067.82,14793.83
141.00,14767.42,14839.99,14767.42,14839,36.62,543170.25,14830.77
142.00,14832.28,14832.28,14740.97,14767.02,19.97,295404.66,14790.32
143.00,14799.9,14800,14766,14766,19.82,293273.04,14794.72
144.00,14764.8,14847.52,14760,14810.99,29.23,432378.85,14793.13
145.00,14805,14854.88,14805,14854.88,27.67,410411.9,14833.73
146.00,14847.99,14914.05,14847.99,14910,64.75,964253.04,14891.01
147.00,14900,14910,14860,14867.41,22.71,338154.08,14888.32
148.00,14860,14898.98,14811,14842.19,19.89,295386.38,14853.15
149.00,14842.18,14890,14811.01,14820.26,25.34,375875.1,14833.9
150.00,14820.26,14883.78,14737,14737.03,41.15,609631.85,14815.89
151.00,14737.03,14800,14711.16,14728.46,43.92,647804.46,14748.36
152.00,14713.1,14713.1,14620.17,14620.17,58.31,855409.97,14669.2
153.00,14638.82,14652.98,14564.38,14571.77,97.43,1422425.99,14599.32
154.00,14571.77,14699.98,14560.39,14619.02,82.32,1202925.15,14612.03
155.00,14619.02,14799.96,14619.02,14676.65,47.12,693763.62,14724.15
156.00,14685.16,14841,14676.67,14801,46.69,689823.08,14775.82
157.00,14801,14810,14722.01,14733,46.86,692340.45,14773.76
158.00,14733,14746.9,14601.14,14631.64,90.21,1320220.99,14634.65
159.00,14649.98,14671.38,14542.56,14551.66,86.33,1260373.33,14599.85
160.00,14534,14541.79,14336,14375.76,158.48,2283329.95,14407.44
161.00,14375,14552.95,14329.98,14459.94,67.31,972725.43,14451.34
162.00,14459.94,14550,14422.11,14469,44.66,647669.31,14501.42
163.00,14479.99,14567.76,14462.7,14505,54.36,789386.97,14520.58
164.00,14505,14527.65,14400,14481.09,62.21,898824.3,14448
165.00,14449.9,14559.94,14400,14405.65,70.11,1014970.97,14477
166.00,14400.01,14400.01,14194.53,14198.81,350.25,5000404.97,14276.75
167.00,14198.81,14300,14150,14230.05,188.45,2678211.26,14211.62
168.00,14230.05,14276.87,14123.97,14152.02,153.43,2176066.29,14182.9
169.00,14152.02,14335,14150.31,14279.99,264.31,3760994.59,14229.49
170.00,14279.99,14437.72,14265.39,14423.06,109.21,1565468.75,14334.86
171.00,14392,14423.05,14278.6,14346.27,74.89,1074233.14,14344.95
172.00,14346.28,14346.3,14150,14299.99,108.93,1549865.94,14227.72
173.00,14299.99,14307.03,14178.89,14263.68,63.64,907147.04,14253.41
174.00,14263.67,14376.84,14235,14325.3,85.6,1224947.88,14310.43
175.00,14325.3,14365.7,14323.43,14342.1,69.29,994339.62,14349.84
176.00,14338.67,14450,14338.67,14424.12,184.7,2658441.6,14393.33
177.00,14424.12,14510,14423.87,14509.99,71.3,1031882.04,14472.08
178.00,14509.99,14518.91,14451.01,14464.68,54.82,793936.56,14483.4
179.00,14464.68,14672.55,14456.65,14593.47,308.39,4499257.71,14589.4
180.00,14593.47,14603.34,14497.21,14513.08,64.44,937575.64,14548.57
181.00,14517.66,14750.94,14513.18,14664.18,326.48,4793051.4,14681.18
182.00,14664.18,14690,14601.07,14632.87,48.46,710396.58,14658.3
183.00,14601.59,14639.59,14520.54,14538,100,1456477.6,14565.08
184.00,14538,14700,14535,14700,114.9,1678738.57,14610.41
185.00,14700,14737.47,14635.4,14737.47,57.34,842076.1,14686.2
186.00,14740,14760.91,14675.11,14717.56,45.25,666087.39,14721.51
187.00,14717.56,14725.06,14607.12,14671.01,40.29,590631.58,14660.04
188.00,14671.01,14690.34,14600,14613.05,45.24,661493.7,14620.93
189.00,14631.32,14663.13,14531,14550,56.06,816624.68,14567.11
190.00,14550,14606.7,14512.33,14570.4,36.45,531199.68,14571.51
191.00,14559.31,14598.94,14548.86,14598.94,206.71,3017408.18,14597.27
192.00,14598.94,14700,14595.6,14700,43.65,638987.57,14639.43
193.00,14690,14724.96,14626.71,14660.58,53.93,791932.59,14684.62
194.00,14660.58,14704.81,14660.01,14698.77,41.7,611999.6,14676.8
195.00,14698.76,14706.81,14571.44,14609.61,54.46,797200.33,14638.6
196.00,14609.61,14682.59,14580,14667.84,93.65,1369338.77,14621.18
197.00,14667.84,14699,14657.97,14681.89,76.04,1116433.21,14681.61
198.00,14680.45,14729.98,14665,14729.98,85.82,1262398.53,14709.76
199.00,14729.98,14851,14729.98,14851,112.94,1670616.96,14792.62
200.00,14851,14900,14811.03,14841.79,73.9,1098134.43,14859.85
201.00,14847.34,14893.7,14830,14870,51.96,772109.16,14859.78
202.00,14870,14914.05,14850.19,14888.87,60.12,895511.97,14895.12
203.00,14888.87,14920,14864.46,14920,53.83,802521,14907.96
204.00,14920,14939.17,14912.1,14936.16,63.22,943590.06,14924.62
205.00,14936.16,14939.17,14800,14829.99,81.47,1210115.23,14854.34
206.00,14825,14861.03,14802.01,14824.96,38.91,576795.48,14825.09
207.00,14824.97,14829.53,14800,14806,109.28,1617462.54,14801.4
208.00,14806,14890.48,14800.08,14890.39,43.21,641669.15,14849.86
209.00,14890.32,14950,14873,14940,29.14,434579.21,14912.88
210.00,14939.99,14950,14808,14808.02,36.79,547690.87,14886.64
211.00,14808.02,14872.18,14794.95,14804.96,16.75,248293.99,14821.97
212.00,14806.02,14883.72,14805.97,14867.07,7.47,110924.78,14848.78
213.00,14867.07,14908.02,14825.02,14877.64,11.1,165205.96,14878.35
214.00,14877.64,14930.99,14877.64,14908.76,35.74,532788.28,14905.56
215.00,14908.76,14951.34,14900.15,14937.35,29.01,433183.48,14930.68
216.00,14937.35,14951.34,14923.97,14937.68,12.74,190325.83,14943.74
217.00,14937.68,14951.34,14911,14919.4,36.33,542282.75,14924.73
218.00,14919.4,14950,14915,14947.75,14.02,209274.56,14929.99
219.00,14934.51,14969,14933.73,14969,23.73,354729.24,14950.39
220.00,14960.01,14988.72,14905,14911,48.98,733312.69,14971.51
221.00,14905,14964.12,14879.95,14900.38,33.15,493768.57,14894.29
222.00,14880.55,14916.12,14841.34,14890.08,33.88,503889.26,14871.53
223.00,14890.08,14930,14867,14905.04,16.75,249620.14,14898.92
224.00,14905.04,14930,14886.51,14915.33,13.31,198521.61,14916.77
225.00,14915.33,14943.02,14900,14920.64,9.19,137133.8,14916.95
226.00,14915.57,14945.51,14841,14850,19.42,289066.63,14884.89
227.00,14850,14850,14760.91,14770,48.45,717319.85,14804.74
228.00,14770,14870.9,14732.58,14747.78,59.68,882963.76,14795.21
229.00,14747.78,14755.9,14700,14740,76.88,1131622.66,14719.42
230.00,14739.99,14804.86,14705,14790,40.09,591687.53,14758.23
231.00,14773.02,14836.13,14757.07,14799.01,47.61,703906.56,14785.14
232.00,14799.01,14831.45,14761.5,14784.63,38.35,567683.15,14804.22
233.00,14784.62,14851.3,14769.06,14780,14.61,216067.23,14792.36
234.00,14780,14849,14777.5,14790,56.32,833568.39,14801.78
235.00,14848.03,14848.03,14750,14796.9,21.02,310970.8,14793.72
236.00,14796.23,14796.23,14750,14755,78.24,1154107.62,14750.96
237.00,14750,14768.96,14692.29,14720.32,54.54,803836.92,14738.02
238.00,14720.32,14780,14704,14760.04,15.69,231366.37,14745.43
239.00,14743.37,14779.96,14708.38,14743.8,31.22,460471.1,14747.65
240.00,14743.8,14755.86,14720.01,14750,30.44,448858.99,14747.83
241.00,14749.99,14770,14700.11,14767.76,45.64,673199.72,14751.43
242.00,14767.76,14770,14702,14727.71,23.64,348524.63,14743.21
243.00,14727.72,14727.72,14619.1,14657.09,62.74,920646.5,14674.58
244.00,14657.09,14679.99,14619.1,14679.99,30.77,450860.71,14650.63
245.00,14679.99,14729.19,14637,14692.99,14.98,220164.63,14699.44
246.00,14693.3,14727.86,14630,14657.34,21.7,318375.42,14675.03
247.00,14625.31,14739.67,14625.31,14731.92,30.5,448143.86,14691.29
248.00,14716.95,14801.45,14689,14740.13,23.78,351316.26,14774.09
249.00,14747.64,14817.82,14716.69,14817.81,26.44,390855.89,14780.24
250.00,14817.8,14817.98,14760.1,14765,18.64,275424.54,14779.45
251.00,14761,14799.98,14731,14798.82,25.29,373370.52,14762.33
252.00,14798.82,14822,14773,14788.99,20.12,297594.85,14790.51
253.00,14803.61,14803.61,14721,14767.04,57.24,844648.14,14757.26
254.00,14768,14794.97,14736.07,14779.99,29.6,437359.37,14774.55
255.00,14789.99,14819.98,14714.45,14743,20.94,309277.47,14768.67
256.00,14750.99,14785,14735.05,14770.99,34.1,503299.21,14757.79
257.00,14774.91,14813.72,14760.01,14764,31.01,458406.96,14781.06
258.00,14774.97,14784.29,14700,14708,77.97,1148870.28,14735.52
259.00,14708,14739.96,14636.66,14636.66,69.31,1016774.26,14670.95
260.00,14636.66,14657.78,14600,14607.09,41.94,613417.61,14627.06
261.00,14607.19,14607.2,14582.64,14582.68,36.42,531392.1,14591.21
262.00,14596.99,14607.2,14575.42,14592.71,58.97,860190.83,14587.77
263.00,14592.71,14625.12,14546.28,14548.74,51.05,744327.97,14580.48
264.00,14546.28,14567.2,14510.06,14515,56.53,822011.92,14541.03
265.00,14515,14567.1,14510,14531.31,36.48,529975.97,14528.4
266.00,14543.19,14579.84,14500,14511,46.37,673112.99,14516.91
267.00,14517.6,14585.06,14505,14539.12,30.34,440946.95,14532.97
268.00,14539.12,14619.99,14520.02,14603.7,44.45,648175.3,14580.56
269.00,14619.93,14619.99,14522,14544.99,18.31,266970.41,14582.93
270.00,14544.99,14575,14522.02,14550.77,48.07,699625.99,14552.83
271.00,14550.99,14576.6,14521,14540.35,17.35,252099.05,14528.24
272.00,14540.35,14540.64,14501,14521,17.84,259051.14,14518.59
273.00,14521,14535,14501,14502.03,26.68,387275.31,14515.44
274.00,14502.03,14518.9,14485,14485,34.84,505230.31,14499.78
275.00,14485,14490.27,14367.03,14436.41,104.8,1512328.21,14430.84
276.00,14436.41,14436.41,14359.99,14390.56,32.18,462697.39,14377.57
277.00,14418.7,14444.11,14309.8,14324.88,73.28,1052806.6,14366.03
278.00,14324.88,14336.99,14258.6,14258.6,102.45,1463247.89,14282.96
279.00,14274.7,14350.64,14258.6,14260.06,62.77,898691.89,14316.21
280.00,14260.06,14301,14223.04,14262.99,57.72,822567.09,14250.03
281.00,14252.36,14300,14210,14223.16,104.07,1482486.35,14245.37
282.00,14266.24,14315.63,14220.62,14262.72,82.23,1171779.94,14250.63
283.00,14262.72,14367.44,14190.47,14234.65,101,1438398.17,14240.91
284.00,14249.92,14418.99,14187.75,14373.32,213.16,3051744.02,14316.51
285.00,14372.53,14463,14350,14430.21,31.71,457193.96,14416.89
286.00,14435.5,14452.88,14310,14386.68,119.34,1714782.32,14368.51
287.00,14386.68,14417.28,14310,14417,49.88,715311.23,14339.35
288.00,14395.06,14437.31,14326.32,14403.51,96.6,1389663.8,14385.96
289.00,14403.51,14479.9,14310,14359.98,92.99,1337330.93,14381.07
290.00,14359.99,14382.23,14310,14345.07,52.99,759154.85,14325.69
291.00,14326.26,14379.27,14250,14260,40.87,585430.69,14323.39
292.00,14259.9,14276.66,14070,14070.01,143.47,2032249.58,14164.88
293.00,14072.96,14118.99,13856.01,14030,418.58,5840567.12,13953.38
294.00,14029.85,14064.5,13800,14050,185.08,2573094.42,13902.55
295.00,14049.99,14144.19,13990.05,14092.5,93.42,1317056.35,14098.68
296.00,14106.4,14122,14045.01,14095.82,42.49,598071.63,14076.08
297.00,14095.82,14121.99,14000,14013.16,48.96,688165.85,14055.27
298.00,14023.67,14067.5,13961.89,14013.81,27.87,390545.62,14013.29
299.00,14013.99,14099,13957.51,14064.95,27.61,387199.28,14023.55
300.00,14058.3,14098.21,14009.46,14084.46,23.73,333334.22,14046.32
301.00,14076.54,14144.19,14040,14135.48,48.93,688878.15,14078.26
302.00,14135.47,14187.54,14100.02,14187.54,40.09,566773.15,14137.47
303.00,14170,14247,14161.87,14231,45.2,642163.05,14208.1
304.00,14203.98,14258.6,14181.43,14258.6,31.21,443681.59,14216.24
305.00,14254.61,14294.25,14240,14240,69.9,996663.78,14258.45
306.00,14240,14276.59,14161.87,14173.59,40.79,580490.4,14232.17
307.00,14161.88,14226.02,14130,14225.99,28.38,401790.83,14156.52
308.00,14225.96,14236.72,14090,14100,70.08,992254.41,14158.59
309.00,14100,14158.93,14031,14158.78,37.37,525866.77,14072.78
310.00,14120,14207.54,14056.14,14172.25,24.91,351460.92,14110.16
311.00,14157.63,14223.09,14120,14120,43.97,622573.88,14158.06
312.00,14120.06,14209.87,14120.06,14148,12.5,177121.41,14164.41
313.00,14148.01,14239.96,14148.01,14232.17,32.83,466312.67,14203.12
314.00,14230.99,14240,14186.93,14240,45.06,640267.93,14209.85
315.00,14203.33,14267.25,14187.5,14267.25,48.11,684153.65,14220.18
316.00,14267.25,14293.75,14232.5,14249.99,21.42,305462.6,14260.68
317.00,14250,14252.38,14184.03,14249.8,29.47,419364.81,14232.02
318.00,14211.05,14276.25,14211.05,14238.62,15.79,224827.98,14239.42
319.00,14238.61,14258.86,14174.8,14226.68,24.61,349828.73,14217.25
320.00,14229.98,14237.09,14156.38,14171.9,23.69,336469.58,14204.25
321.00,14171.92,14230.83,14133,14157.64,33.12,469466.04,14176.39
322.00,14141.02,14246.18,14141,14170.91,15.56,221064.18,14208.28
323.00,14213.63,14276.28,14185.19,14264.2,18.37,261775.41,14253.64
